	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Ohio	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859	-0.47222859
Oklahoma	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695	-0.16172695
Peru	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341	1.20477341
Philippines	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503	0.28430503
South_Carolina	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735	-0.70687735
Tennessee	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151	-0.51464151
Texas	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854	0.77720854
Utah	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328	-0.02747328
West_Virginia	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308	-0.90132308
Yemen	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894	0.48125894
