	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Ohio	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756	0.56724756
Oklahoma	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727	-0.42494727
Peru	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029	-0.28595029
Philippines	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890	0.06248890
South_Carolina	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532	-0.20640532
Tennessee	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663	0.15271663
Texas	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975	1.41942975
Utah	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193	-0.32453193
West_Virginia	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466	-1.14162466
Yemen	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080	-2.59575080
