sequence	region
PV213215|2025-03|USA|Pennsylvania|2.3.4.4b	Pennsylvania
PV212719|2025-03|USA|Pennsylvania|2.3.4.4b	Pennsylvania
PV212591|2025-03|USA|Pennsylvania|2.3.4.4b	Pennsylvania
PV212399|2025-03|USA|Pennsylvania|2.3.4.4b	Pennsylvania
PV653842|2025-05|Serbia|nan|2.3.4.4b	Serbia
PP853088|2024-06|Serbia|nan|2.3.4.4b	Serbia
PP853096|2024-06|Serbia|nan|2.3.4.4b	Serbia
PQ718401|2024-12|USA|South_Dakota|2.3.4.4b	South_Dakota
OQ966660|2023-08|USA|South_Dakota|2.3.4.4b	South_Dakota
OQ966452|2023-08|USA|South_Dakota|2.3.4.4b	South_Dakota
OQ966620|2023-08|USA|South_Dakota|2.3.4.4b	South_Dakota
OR381604|2023-09|Uruguay|nan|2.3.4.4b	Uruguay
OR381627|2023-09|Uruguay|nan|2.3.4.4b	Uruguay
OR381636|2023-09|Uruguay|nan|2.3.4.4b	Uruguay
OQ959804|2023-08|USA|Vermont|2.3.4.4b	Vermont
OQ965220|2023-08|USA|Vermont|2.3.4.4b	Vermont
PQ719761|2024-12|USA|Vermont|2.3.4.4b	Vermont
PV410629|2025-03|Vietnam|nan|2.3.4.4b	Vietnam
PV410641|2025-03|Vietnam|nan|2.3.4.4b	Vietnam
PV410648|2025-03|Vietnam|nan|2.3.4.4b	Vietnam
PP834422|2024-05|USA|Virginia|2.3.4.4b	Virginia
PQ700897|2024-12|USA|Virginia|2.3.4.4b	Virginia
PP833639|2024-05|USA|Virginia|2.3.4.4b	Virginia
PQ701129|2024-12|USA|Virginia|2.3.4.4b	Virginia
PQ714137|2024-12|USA|Washington|2.3.4.4b	Washington
PQ709033|2024-12|USA|Washington|2.3.4.4b	Washington
PQ798009|2024-12|USA|Washington|2.3.4.4b	Washington
PQ715337|2024-12|USA|Washington|2.3.4.4b	Washington
PV160095|2025-02|USA|Wisconsin|2.3.4.4b	Wisconsin
OQ966772|2023-08|USA|Wisconsin|2.3.4.4b	Wisconsin
PQ712745|2024-12|USA|Wisconsin|2.3.4.4b	Wisconsin
PQ703513|2024-12|USA|Wisconsin|2.3.4.4b	Wisconsin
OQ962140|2023-08|USA|Wyoming|2.3.4.4b	Wyoming
PQ719409|2024-12|USA|Wyoming|2.3.4.4b	Wyoming
PQ709513|2024-12|USA|Wyoming|2.3.4.4b	Wyoming
