sequence	region
PV187799|2025-02|Germany|nan|2.3.4.4b	Germany
PQ736272|2024-12|Germany|nan|2.3.4.4b	Germany
PQ798057|2024-12|USA|Hawaii|2.3.4.4b	Hawaii
PQ797153|2024-12|USA|Hawaii|2.3.4.4b	Hawaii
PQ226239|2025-09|India|nan|2.3.4.4b	India
PQ226243|2025-09|India|nan|2.3.4.4b	India
PQ226245|2025-09|India|nan|2.3.4.4b	India
PQ701385|2024-12|USA|Iowa|2.3.4.4b	Iowa
PQ051234|2024-07|USA|Iowa|2.3.4.4b	Iowa
OQ965412|2023-08|USA|Iowa|2.3.4.4b	Iowa
PQ701377|2024-12|USA|Iowa|2.3.4.4b	Iowa
PQ717785|2024-12|USA|Louisiana|2.3.4.4b	Louisiana
PP691924|2024-04|USA|Louisiana|2.3.4.4b	Louisiana
PQ705913|2024-12|USA|Louisiana|2.3.4.4b	Louisiana
PQ714761|2024-12|USA|Louisiana|2.3.4.4b	Louisiana
PP752298|2024-05|USA|Maryland|2.3.4.4b	Maryland
OQ957596|2023-08|USA|Maryland|2.3.4.4b	Maryland
OQ967444|2023-08|USA|Maryland|2.3.4.4b	Maryland
PQ710641|2024-12|USA|Massachusetts|2.3.4.4b	Massachusetts
PQ716041|2024-12|USA|Massachusetts|2.3.4.4b	Massachusetts
PQ708041|2024-12|USA|Massachusetts|2.3.4.4b	Massachusetts
PQ709377|2024-12|USA|Massachusetts|2.3.4.4b	Massachusetts
OR801077|2023-12|Mexico|nan|2.3.4.4b	Mexico
OR801085|2023-12|Mexico|nan|2.3.4.4b	Mexico
OR801093|2023-12|Mexico|nan|2.3.4.4b	Mexico
PQ718129|2024-12|USA|Mississippi|2.3.4.4b	Mississippi
PQ705265|2024-12|USA|Mississippi|2.3.4.4b	Mississippi
PQ717105|2024-12|USA|Mississippi|2.3.4.4b	Mississippi
PQ705329|2024-12|USA|Mississippi|2.3.4.4b	Mississippi
PQ712425|2024-12|USA|Missouri|2.3.4.4b	Missouri
OQ960572|2023-08|USA|Missouri|2.3.4.4b	Missouri
PV162119|2025-02|USA|Missouri|2.3.4.4b	Missouri
PV159975|2025-02|USA|Missouri|2.3.4.4b	Missouri
PQ714849|2024-12|USA|Montana|2.3.4.4b	Montana
PQ713561|2024-12|USA|Montana|2.3.4.4b	Montana
OQ967684|2023-08|USA|Montana|2.3.4.4b	Montana
PQ716465|2024-12|USA|New_Mexico|2.3.4.4b	New_Mexico
PQ718329|2024-12|USA|New_Mexico|2.3.4.4b	New_Mexico
PP752455|2024-05|USA|New_Mexico|2.3.4.4b	New_Mexico
PQ011043|2024-07|USA|New_Mexico|2.3.4.4b	New_Mexico
MW961452|2021-04|Nigeria|nan|2.3.4.4b	Nigeria
MW961492|2021-04|Nigeria|nan|2.3.4.4b	Nigeria
MW961468|2021-04|Nigeria|nan|2.3.4.4b	Nigeria
MW961460|2021-04|Nigeria|nan|2.3.4.4b	Nigeria
OQ966204|2023-08|USA|North_Carolina|2.3.4.4b	North_Carolina
PP761557|2024-05|USA|North_Carolina|2.3.4.4b	North_Carolina
OQ957996|2023-08|USA|North_Carolina|2.3.4.4b	North_Carolina
PQ700905|2024-12|USA|North_Carolina|2.3.4.4b	North_Carolina
PV162231|2025-02|USA|Ohio|2.3.4.4b	Ohio
OR136532|2023-06|USA|Ohio|2.3.4.4b	Ohio
PQ827589|2025-01|USA|Ohio|2.3.4.4b	Ohio
OR136604|2023-06|USA|Ohio|2.3.4.4b	Ohio
PQ706377|2024-12|USA|Oklahoma|2.3.4.4b	Oklahoma
PV214367|2025-03|USA|Oklahoma|2.3.4.4b	Oklahoma
PV214375|2025-03|USA|Oklahoma|2.3.4.4b	Oklahoma
PP761982|2024-05|USA|Oklahoma|2.3.4.4b	Oklahoma
OQ550458|2023-07|Peru|nan|2.3.4.4b	Peru
OQ547383|2023-05|Peru|nan|2.3.4.4b	Peru
OQ547391|2023-05|Peru|nan|2.3.4.4b	Peru
PV422387|2025-03|Philippines|nan|2.3.4.4b	Philippines
PV422386|2025-03|Philippines|nan|2.3.4.4b	Philippines
PV422396|2025-03|Philippines|nan|2.3.4.4b	Philippines
PV159735|2025-02|USA|South_Carolina|2.3.4.4b	South_Carolina
OQ961156|2023-08|USA|South_Carolina|2.3.4.4b	South_Carolina
PQ705537|2024-12|USA|South_Carolina|2.3.4.4b	South_Carolina
PQ705449|2024-12|USA|South_Carolina|2.3.4.4b	South_Carolina
OR421144|2023-08|USA|Tennessee|2.3.4.4b	Tennessee
PV162319|2025-02|USA|Tennessee|2.3.4.4b	Tennessee
PV159559|2025-02|USA|Tennessee|2.3.4.4b	Tennessee
PP576984|2024-04|USA|Tennessee|2.3.4.4b	Tennessee
PQ706545|2024-12|USA|Texas|2.3.4.4b	Texas
PV267600|2025-03|USA|Texas|2.3.4.4b	Texas
PQ710409|2024-12|USA|Texas|2.3.4.4b	Texas
PP762027|2024-05|USA|Utah|2.3.4.4b	Utah
PQ720169|2024-12|USA|Utah|2.3.4.4b	Utah
PQ708865|2024-12|USA|Utah|2.3.4.4b	Utah
PQ715073|2024-12|USA|Utah|2.3.4.4b	Utah
PV162423|2025-02|USA|West_Virginia|2.3.4.4b	West_Virginia
PV162399|2025-02|USA|West_Virginia|2.3.4.4b	West_Virginia
PV440367|2025-04|Yemen|nan|2.3.4.4b	Yemen
PV422286|2025-03|Yemen|nan|2.3.4.4b	Yemen
PV440353|2025-04|Yemen|nan|2.3.4.4b	Yemen
