	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
New_York	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864	0.07682864
North_Dakota	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063	-1.54861063
Ohio	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751	0.16831751
South_Dakota	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820	-0.63092820
Spain	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203	1.51379203
Texas	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552	0.82231552
Utah	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090
Virginia	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141	0.20750141
Wisconsin	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320	0.12507320
Wyoming	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040
