	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Pennsylvania	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587	0.01093587
Serbia	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315	-0.38853315
South_Dakota	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184	-0.91055184
Uruguay	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958	0.02939958
Vermont	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413	-0.74649413
Vietnam	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126	1.37987126
Virginia	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472	-0.01493472
Washington	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455	-0.23404455
Wisconsin	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518	-0.10298518
Wyoming	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855	-1.17278855
