	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
North_Dakota	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Oregon	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Pennsylvania	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Serbia	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
South_Dakota	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Uruguay	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Vermont	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Vietnam	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Virginia	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Washington	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Wisconsin	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Wyoming	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
