	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Pennsylvania	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976	0.74138976
Serbia	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984	-1.04778984
South_Dakota	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844	-1.26453844
Uruguay	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208	-1.17297208
Vermont	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114	-1.64204114
Vietnam	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610	0.14970610
Virginia	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159	0.51781159
Washington	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629	0.60287629
Wisconsin	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901	0.11544901
Wyoming	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656	-1.53317656
