	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Pennsylvania	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330	0.46686330
Serbia	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567	0.24551567
South_Dakota	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143	0.69592143
Uruguay	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710	-0.94511710
Vermont	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968	0.62857968
Vietnam	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634	-1.75614634
Virginia	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726	0.26394726
Washington	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225	0.02337225
Wisconsin	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974	0.74738974
Wyoming	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040	0.72191040
